Data R1_x,Data R1_y,Fit R1 (k=1.91)_x,Fit R1 (k=1.91)_y,Data R2_x,Data R2_y,Fit R2 (k=1.71)_x,Fit R2 (k=1.71)_y,Data R3_x,Data R3_y,Fit R3 (k=1.73)_x,Fit R3 (k=1.73)_y,Data R4_x,Data R4_y,Fit R4 (k=1.75)_x,Fit R4 (k=1.75)_y,Data R5_x,Data R5_y,Fit R5 (k=1.83)_x,Fit R5 (k=1.83)_y
,,50.3030303030,2.4485716381,,,50.3030303030,0.1798753745,,,50.3030303030,3.696233748,,,50.3030303030,4.0453421063,,,50.3030303030,0.5944182524
,,50.8080808081,2.495801756,,,50.8080808081,0.1829801683,,,50.8080808081,3.7605277328,,,50.8080808081,4.1165999003,,,50.8080808081,0.6053858646
,,51.3131313131,2.5434621892,,,51.3131313131,0.1861070472,,,51.3131313131,3.8252875205,,,51.3131313131,4.1883894146,,,51.3131313131,0.6164443511
,,51.8181818182,2.5915525652,,,51.8181818182,0.1892559486,,,51.8181818182,3.8905118512,,,51.8181818182,4.2607093248,,,51.8181818182,0.6275935591
,,52.3232323232,2.6400725152,,,52.3232323232,0.1924268107,,,52.3232323232,3.9561994808,,,52.3232323232,4.3335583226,,,52.3232323232,0.638833338
,,52.8282828283,2.6890216744,,,52.8282828283,0.1956195725,,,52.8282828283,4.0223491806,,,52.8282828283,4.4069351157,,,52.8282828283,0.6501635384
,,53.3333333333,2.7383996818,,,53.3333333333,0.1988341736,,,53.3333333333,4.0889597367,,,53.3333333333,4.4808384275,,,53.3333333333,0.6615840130
,,53.8383838384,2.7882061803,,,53.8383838384,0.2020705546,,,53.8383838384,4.1560299501,,,53.8383838384,4.5552669962,,,53.8383838384,0.6730946159
,,54.3434343434,2.8384408161,,,54.3434343434,0.2053286565,,,54.3434343434,4.2235586361,,,54.3434343434,4.6302195752,,,54.3434343434,0.6846952030
,,54.8484848485,2.8891032393,,,54.8484848485,0.2086084214,,,54.8484848485,4.2915446242,,,54.8484848485,4.7056949323,,,54.8484848485,0.6963856316
,,55.3535353535,2.9401931035,,,55.3535353535,0.2119097917,,,55.3535353535,4.3599867574,,,55.3535353535,4.7816918496,,,55.3535353535,0.7081657605
,,55.8585858586,2.9917100655,,,55.8585858586,0.2152327107,,,55.8585858586,4.4288838925,,,55.8585858586,4.8582091232,,,55.8585858586,0.7200354503
,,56.3636363636,3.0436537858,,,56.3636363636,0.2185771224,,,56.3636363636,4.4982348994,,,56.3636363636,4.9352455629,,,56.3636363636,0.7319945627
,,56.8686868687,3.096023928,,,56.8686868687,0.2219429712,,,56.8686868687,4.5680386607,,,56.8686868687,5.0127999916,,,56.8686868687,0.7440429612
,,57.3737373737,3.1488201590,,,57.3737373737,0.2253302023,,,57.3737373737,4.6382940720,,,57.3737373737,5.0908712458,,,57.3737373737,0.7561805105
,,57.8787878788,3.2020421491,,,57.8787878788,0.2287387617,,,57.8787878788,4.7090000413,,,57.8787878788,5.1694581745,,,57.8787878788,0.7684070768
,,58.3838383838,3.2556895715,,,58.3838383838,0.2321685956,,,58.3838383838,4.7801554886,,,58.3838383838,5.2485596396,,,58.3838383838,0.7807225277
,,58.8888888889,3.3097621025,,,58.8888888889,0.2356196512,,,58.8888888889,4.851759346,,,58.8888888889,5.3281745151,,,58.8888888889,0.793126732
,,59.3939393939,3.3642594216,,,59.3939393939,0.2390918761,,,59.3939393939,4.9238105571,,,59.3939393939,5.4083016872,,,59.3939393939,0.8056195599
,,59.898989899,3.4191812112,,,59.898989899,0.2425852184,,,59.898989899,4.9963080773,,,59.898989899,5.4889400542,,,59.898989899,0.818200883
,,60.4040404040,3.4745271565,,,60.4040404040,0.2460996268,,,60.4040404040,5.0692508729,,,60.4040404040,5.5700885259,,,60.4040404040,0.8308705739
,,60.9090909091,3.5302969458,,,60.9090909091,0.2496350508,,,60.9090909091,5.1426379216,,,60.9090909091,5.6517460235,,,60.9090909091,0.8436285069
,,61.4141414141,3.58649027,,,61.4141414141,0.2531914401,,,61.4141414141,5.2164682115,,,61.4141414141,5.7339114795,,,61.4141414141,0.8564745570
,,61.9191919192,3.6431068229,,,61.9191919192,0.2567687452,,,61.9191919192,5.2907407417,,,61.9191919192,5.8165838375,,,61.9191919192,0.8694086008
,,62.4242424242,3.7001463010,,,62.4242424242,0.2603669168,,,62.4242424242,5.3654545217,,,62.4242424242,5.8997620518,,,62.4242424242,0.8824305159
,,62.9292929293,3.7576084036,,,62.9292929293,0.2639859065,,,62.9292929293,5.440608571,,,62.9292929293,5.9834450874,,,62.9292929293,0.8955401811
,,63.4343434343,3.8154928323,,,63.4343434343,0.2676256662,,,63.4343434343,5.5162019193,,,63.4343434343,6.0676319197,,,63.4343434343,0.9087374763
,,63.9393939394,3.8737992917,,,63.9393939394,0.2712861482,,,63.9393939394,5.5922336062,,,63.9393939394,6.1523215344,,,63.9393939394,0.9220222826
,,64.4444444444,3.9325274887,,,64.4444444444,0.2749673055,,,64.4444444444,5.6687026810,,,64.4444444444,6.2375129271,,,64.4444444444,0.9353944822
,,64.9494949495,3.9916771327,,,64.9494949495,0.2786690915,,,64.9494949495,5.7456082024,,,64.9494949495,6.3232051036,,,64.9494949495,0.9488539584
,,65.4545454545,4.0512479357,,,65.4545454545,0.2823914599,,,65.4545454545,5.8229492386,,,65.4545454545,6.4093970791,,,65.4545454545,0.9624005954
,,65.9595959596,4.111239612,,,65.9595959596,0.2861343651,,,65.9595959596,5.9007248669,,,65.9595959596,6.4960878784,,,65.9595959596,0.9760342786
,,66.4646464646,4.1716518784,,,66.4646464646,0.2898977618,,,66.4646464646,5.9789341735,,,66.4646464646,6.5832765358,,,66.4646464646,0.9897548944
,,66.9696969697,4.232484454,,,66.9696969697,0.2936816053,,,66.9696969697,6.0575762538,,,66.9696969697,6.6709620948,,,66.9696969697,1.0035623302
,,67.4747474747,4.2937370601,,,67.4747474747,0.2974858511,,,67.4747474747,6.1366502116,,,67.4747474747,6.7591436079,,,67.4747474747,1.0174564744
,,67.9797979798,4.3554094205,,,67.9797979798,0.3013104554,,,67.9797979798,6.2161551594,,,67.9797979798,6.8478201363,,,67.9797979798,1.0314372164
,,68.4848484848,4.4175012611,,,68.4848484848,0.3051553746,,,68.4848484848,6.2960902181,,,68.4848484848,6.9369907505,,,68.4848484848,1.0455044466
,,68.9898989899,4.48001231,,,68.9898989899,0.3090205656,,,68.9898989899,6.3764545169,,,68.9898989899,7.026654529,,,68.9898989899,1.0596580563
,,69.4949494949,4.5429422974,,,69.4949494949,0.3129059857,,,69.4949494949,6.4572471932,,,69.4949494949,7.1168105592,,,69.4949494949,1.0738979376
,,70.,4.606290956,,,70.,0.3168115926,,,70.,6.5384673922,,,70.,7.2074579366,,,70.,1.0882239838
