Data R1_x,Data R1_y,Fit R1 (k=1.91)_x,Fit R1 (k=1.91)_y,Data R2_x,Data R2_y,Fit R2 (k=1.71)_x,Fit R2 (k=1.71)_y,Data R3_x,Data R3_y,Fit R3 (k=1.73)_x,Fit R3 (k=1.73)_y,Data R4_x,Data R4_y,Fit R4 (k=1.75)_x,Fit R4 (k=1.75)_y,Data R5_x,Data R5_y,Fit R5 (k=1.80)_x,Fit R5 (k=1.80)_y
,,53.8383838384,2.7882061803,,,53.8383838384,0.2020705546,,,53.8383838384,4.1360236376,,,53.8383838384,4.5459512682,,,53.8383838384,0.6669569436
,,54.3434343434,2.8384408161,,,54.3434343434,0.2053286565,,,54.3434343434,4.2034613900,,,54.3434343434,4.62077874,,,54.3434343434,0.6782522135
,,54.8484848485,2.8891032393,,,54.8484848485,0.2086084214,,,54.8484848485,4.2713595931,,,54.8484848485,4.6961285746,,,54.8484848485,0.6896316281
,,55.3535353535,2.9401931035,,,55.3535353535,0.2119097917,,,55.3535353535,4.3397171074,,,55.3535353535,4.7719995583,,,55.3535353535,0.7010950309
,,55.8585858586,2.9917100655,,,55.8585858586,0.2152327107,,,55.8585858586,4.4085328066,,,55.8585858586,4.8483904911,,,55.8585858586,0.712642267
,,56.3636363636,3.0436537858,,,56.3636363636,0.2185771224,,,56.3636363636,4.4778055775,,,56.3636363636,4.9253001868,,,56.3636363636,0.7242731830
,,56.8686868687,3.096023928,,,56.8686868687,0.2219429712,,,56.8686868687,4.5475343195,,,56.8686868687,5.0027274724,,,56.8686868687,0.7359876275
,,57.3737373737,3.1488201590,,,57.3737373737,0.2253302023,,,57.3737373737,4.6177179444,,,57.3737373737,5.0806711883,,,57.3737373737,0.7477854506
,,57.8787878788,3.2020421491,,,57.8787878788,0.2287387617,,,57.8787878788,4.6883553763,,,57.8787878788,5.1591301873,,,57.8787878788,0.7596665038
,,58.3838383838,3.2556895715,,,58.3838383838,0.2321685956,,,58.3838383838,4.7594455512,,,58.3838383838,5.2381033350,,,58.3838383838,0.7716306404
,,58.8888888889,3.3097621025,,,58.8888888889,0.2356196512,,,58.8888888889,4.8309874167,,,58.8888888889,5.3175895093,,,58.8888888889,0.7836777151
,,59.3939393939,3.3642594216,,,59.3939393939,0.2390918761,,,59.3939393939,4.9029799320,,,59.3939393939,5.3975876002,,,59.3939393939,0.7958075842
,,59.898989899,3.4191812112,,,59.898989899,0.2425852184,,,59.898989899,4.9754220676,,,59.898989899,5.4780965095,,,59.898989899,0.8080201054
,,60.4040404040,3.4745271565,,,60.4040404040,0.2460996268,,,60.4040404040,5.0483128048,,,60.4040404040,5.5591151505,,,60.4040404040,0.8203151378
,,60.9090909091,3.5302969458,,,60.9090909091,0.2496350508,,,60.9090909091,5.1216511360,,,60.9090909091,5.6406424483,,,60.9090909091,0.8326925420
,,61.4141414141,3.58649027,,,61.4141414141,0.2531914401,,,61.4141414141,5.1954360642,,,61.4141414141,5.7226773388,,,61.4141414141,0.8451521801
