Energy (eV),Electroabsorption (mOD) - 300.0 V,Electroabsorption (mOD) - 250.0 V,Electroabsorption (mOD) - 200.0 V,Electroabsorption (mOD) - 150.0 V,Electroabsorption (mOD) - 100.0 V
2.610526315789474,-0.12125498910453442,-0.09162522487172328,-0.053630394228686346,-0.03162606707712006,-0.00015099130264703453
2.6050420168067228,-0.12151915594496791,-0.08025236273379636,-0.059749706072225815,-0.02346270251607958,0.00030857135815231406
2.59958071278826,-0.13848400780193143,-0.11209506901402408,-0.05459545240631361,-0.030592219677541527,-0.004048628014858044
2.594142259414226,-0.17781701263699493,-0.1257703923324422,-0.07355509563225694,-0.043574498679616165,-0.007909143902355762
2.5887265135699375,-0.25000368630654096,-0.16368622639674932,-0.10280077383661498,-0.06260996702867093,-0.014067833877470909
2.5833333333333335,-0.3302120517837721,-0.22608855947225184,-0.1345435516015883,-0.08813726984927146,-0.036047903593051864
2.577962577962578,-0.43639383739483895,-0.2960012089636694,-0.19837004766611221,-0.10584796656769281,-0.0389189938101635
2.5726141078838176,-0.5477525125552193,-0.3940207448044674,-0.24696484485197823,-0.14847242040356096,-0.04254826473434492
2.567287784679089,-0.689751303653313,-0.496957148225103,-0.29867765875749436,-0.1906587982570404,-0.057264808623179446
2.56198347107438,-0.8101454950247297,-0.5722779208750617,-0.3569074349034207,-0.23767225578241524,-0.08345845499419836
2.556701030927835,-0.8701163087717607,-0.6005696341363851,-0.38568261510219304,-0.24612214744610597,-0.0900497593912324
2.551440329218107,-0.7896219164480255,-0.5627309146008102,-0.3687446820566416,-0.22045662598624752,-0.08030346586475952
2.546201232032854,-0.582082621550597,-0.4296537813813848,-0.28447290122264063,-0.17529038318169685,-0.0507381326084856
2.540983606557377,-0.2947898531901076,-0.23795977228494225,-0.16049298063727957,-0.10233613013985805,-0.032828136679005145
2.5357873210633946,-0.010054701613637205,-0.04037034102507893,-0.028160739685228586,-0.022845853575090756,0.005707666805619128
2.5306122448979593,0.16490989047218152,0.09427754720326212,0.06462796019372642,0.04064427782389074,0.022208719331080172
2.525458248472505,0.23313521809963839,0.13259113503835654,0.10311708010354315,0.06320904074843976,0.038696060063147755
2.5203252032520327,0.1130198667363599,0.15586835300636778,0.0806666569827924,0.09583581233714712,0.03780875092826755
2.5152129817444218,0.0931427541800556,0.05441266402690027,0.04535872033497424,0.04289035771933926,0.02155655852340561
2.5101214574898787,0.05979698392656476,0.037734218655191776,0.03321884635964176,0.024074183920179685,0.00915276575289034
2.505050505050505,0.03739365282401133,0.02499214974951872,0.024016551337062333,0.011372956378606408,0.0058544810609466045
2.5,0.0238208457346068,0.014163905742556234,0.01304471162887147,0.007388223927825367,0.003157767282361848
2.494969818913481,0.00844743409890002,-0.01584166574542741,0.006058834551501482,0.012785487927411307,0.012595387136709577
2.4899598393574296,-0.006183509797014211,-0.004914780706919788,0.017315715604691497,0.0018660781288361381,0.0013564461831111507
2.4849699398797593,0.0025978143945784866,-0.007700481993962603,0.0043344471008852055,0.0001900335141871915,0.015539531779398682
2.48,-0.005941466704670372,-0.006882786319484091,-0.00547350346726559,-0.006566024125941572,-0.0012967217825890689
2.475049900199601,-3.166693146774259e-05,-0.00027271755353492684,-0.0028028163192863344,-0.0010503865773696219,0.005299016129958964
2.4701195219123506,-0.006917552033205645,0.005894605178852494,0.002555091374951814,0.001962680355084143,0.0004549651950497036
2.4652087475149105,-0.007518001278556818,-0.004439432097194125,0.0020560694013320264,7.740420715685944e-05,0.0015864867043084625
2.4603174603174605,-0.0014787783956695338,-0.0032789253908405893,0.0012301702577283068,-0.0016676099677988938,0.0023150806932043014
2.4554455445544554,-0.0003568794620480617,-0.003992973144079278,-0.010784918974765904,-0.0012419950576916794,0.003464275936926637
2.450592885375494,-0.003639221417028573,-0.004925506209441229,-0.008682888262375838,9.054797168453782e-05,0.0036339455648372273
2.445759368836292,-0.0013797312416253663,-0.0006569124986706226,-0.0008472125035456252,-0.00011630283102329117,0.0009242216180248417
